0,Abilene
1,Akron
2,Albuquerque
3,Alexandria
4,Allentown
5,Amarillo
6,Anaheim
7,Anchorage
8,Ann Arbor
9,Antioch
10,Arlington
11,Arvada
12,Atlanta
13,Aurora (CO)
14,Aurora (IL)
15,Austin
16,Bakersfield
17,Baltimore
18,Baton Rouge
20,Beaumont
21,Bellevue
22,Berkeley
23,Billings
24,Birmingham
25,Boise City
26,Boston
27,Bridgeport
28,Brownsville
29,Buffalo
30,Burbank
31,Burlington
32,Cambridge
33,Cape Coral
34,Carlsbad
36,Carrollton
37,Cedar Rapids
38,Centennial
39,Chandler
40,Charleston (SC)
41,Charleston (WV)
42,Charlotte
43,Chattanooga
44,Chesapeake
45,Cheyenne
46,Chicago
47,Chula Vista
48,Cincinnati
49,Clarksville
50,Clearwater
51,Cleveland
52,Colorado Springs
53,Columbia (MO)
54,Columbia (SC)
55,Columbus (GA)
56,Columbus (OH)
57,Concord
58,Coral Springs
59,Corona
60,Corpus Christi
61,Costa Mesa
62,Dallas
63,Daly City
64,Davenport
65,Dayton
66,Denton
67,Denver
68,Des Moines
69,Detroit
70,Downey
71,Durham
72,El Monte
73,El Paso
74,Elgin
75,Elizabeth
76,Elk Grove
77,Escondido
78,Eugene
79,Evansville
80,Everett
81,Fairfield
82,Fargo
83,Fayetteville
84,Fontana
85,Fort Collins
86,Fort Lauderdale
87,Fort Wayne
88,Fort Worth
89,Fremont
90,Fresno
91,Frisco
92,Fullerton
93,Gainesville
94,Garden Grove
95,Garland
96,Glendale (AZ)
97,Glendale (CA)
98,Grand Prairie
99,Grand Rapids
100,Green Bay
101,Greensboro
102,Gresham
103,Hampton
104,Hartford
105,Hayward
106,Henderson
107,Hialeah
108,High Point
109,Hollywood
110,Honolulu
111,Houston
112,Huntington Beach
113,Huntsville
114,Independence
115,Indianapolis
116,Inglewood
117,Irvine
118,Irving
119,Jackson
120,Jacksonville
121,Jersey City
122,Joliet
123,Kansas City (KS)
124,Kansas City (MO)
125,Kent
126,Killeen
127,Knoxville
128,Lafayette
129,Lakewood
130,Lancaster
131,Lansing
132,Laredo
133,Las Vegas
134,Lexington-Fayette
135,Lincoln
136,Little Rock
137,Long Beach
138,Los Angeles
139,Lowell
140,Lubbock
141,Madison
142,Manchester
143,McAllen
144,McKinney
145,Memphis
146,Mesa
147,Mesquite
148,Miami
149,Miami Gardens
150,Midland
151,Milwaukee
152,Minneapolis
153,Miramar
154,Mobile
155,Modesto
156,Montgomery
157,Moreno Valley
158,Murfreesboro
159,Murrieta
160,Naperville
161,New Haven
162,New Orleans
163,New York
164,Newark
165,Newport News
166,Norfolk
167,Norman
168,North Las Vegas
169,Norwalk
170,Oakland
171,Oceanside
172,Oklahoma City
173,Olathe
174,Omaha
175,Ontario
176,Orange
177,Orlando
178,Overland Park
179,Oxnard
180,Palm Bay
181,Palmdale
182,Pasadena (CA)
183,Pasadena (TX)
184,Paterson
185,Pembroke Pines
186,Peoria (AZ)
187,Peoria (IL)
188,Philadelphia
189,Phoenix
190,Pittsburgh
191,Plano
192,Pomona
194,Port St. Lucie
195,Portland (ME)
196,Portland (OR)
197,Providence
198,Provo
199,Pueblo
200,Raleigh
201,Rancho Cucamonga
202,Reno
203,Richmond (CA)
204,Richmond (VA)
205,Riverside
206,Rochester (MN)
207,Rochester (NY)
208,Rockford
209,Roseville
210,Sacramento
211,Salem
212,Salinas
213,Salt Lake City
214,San Antonio
215,San Bernardino
216,San Buenaventura
217,San Diego
218,San Francisco
219,San Jose
221,Santa Ana
222,Santa Clara
223,Santa Clarita
224,Santa Rosa
225,Savannah
226,Scottsdale
227,Seattle
228,Shreveport
229,Simi Valley
230,Sioux Falls
231,South Bend
232,Spokane
233,Springfield (IL)
234,Springfield (MA)
235,Springfield (MO)
236,St. Louis
237,St. Paul
238,St. Petersburg
239,Stamford
240,Sterling Heights
241,Stockton
242,Sunnyvale
243,Surprise
244,Syracuse
245,Tacoma
246,Tallahassee
247,Tampa
248,Temecula
249,Tempe
250,Thornton
251,Thousand Oaks
252,Toledo
253,Topeka
254,Torrance
255,Tucson
256,Tulsa
257,Vallejo
258,Vancouver
259,Victorville
260,Virginia Beach
261,Visalia
262,Waco
263,Warren
264,Washington
265,Waterbury
266,West Covina
267,West Jordan
268,West Palm Beach
269,West Valley City
270,Westminster
271,Wichita
272,Wichita Falls
273,Wilmington (DE)
274,Wilmington (NC)
275,Winston-Salem
276,Worcester
277,Yonkers
