"city","state","geo.id","2010","2011","2012","2013","2014","2015"
"Abilene","TX","1600000US4801000","","","","","",82.4
"Akron","OH","1600000US3901000","","","","","",86.7
"Albuquerque","NM","1600000US3502000","","","","","",86
"Alexandria","VA","1600000US5101000","","","","","",85.7
"Allentown","PA","1600000US4202000","","","","","",83.2
"Amarillo","TX","1600000US4803000","","","","","",80.7
"Anaheim","CA","1600000US0602000","","","","","",80.7
"Anchorage","AK","1600000US0203000","","","","","",84.5
"Ann Arbor","MI","1600000US2603000","","","","","",94.9
"Antioch","CA","1600000US0602252","","","","","",89.3
"Arlington","TX","1600000US4804000","","","","","",78.3
"Arvada","CO","1600000US0803455","","","","","",92.2
"Atlanta","GA","1600000US1304000","","","","","",84.1
"Aurora (CO)","CO","1600000US0804000","","","","","",81.8
"Aurora (IL)","IL","1600000US1703012","","","","","",84.7
"Austin","TX","1600000US4805000","","","","","",81.8
"Bakersfield","CA","1600000US0603526","","","","","",85.8
"Baltimore","MD","1600000US2404000","","","","","",89.7
"Baton Rouge","LA","1600000US2205000","","","","","",84.7
"Bayam<U+0086>n","PR","1600000US7206593","","","","","",92.9
"Beaumont","TX","1600000US4807000","","","","","",77.9
"Bellevue","WA","1600000US5305210","","","","","",91.3
"Berkeley","CA","1600000US0606000","","","","","",93.3
"Billings","MT","1600000US3006550","","","","","",85.7
"Birmingham","AL","1600000US0107000","","","","","",83.8
"Boise City","ID","1600000US1608830","","","","","",87.5
"Boston","MA","1600000US2507000","","","","","",95.3
"Bridgeport","CT","1600000US0908000","","","","","",80.6
"Brownsville","TX","1600000US4810768","","","","","",65.4
"Buffalo","NY","1600000US3611000","","","","","",91.5
"Burbank","CA","1600000US0608954","","","","","",86.8
"Burlington","VT","1600000US5010675","","","","","",94.4
"Cambridge","MA","1600000US2511000","","","","","",97.3
"Cape Coral","FL","1600000US1210275","","","","","",81.6
"Carlsbad","CA","1600000US0611194","","","","","",92.2
"Carolina","PR","1600000US7214290","","","","","",90.9
"Carrollton","TX","1600000US4813024","","","","","",77.8
"Cedar Rapids","IA","1600000US1912000","","","","","",92.9
"Centennial","CO","1600000US0812815","","","","","",93.7
"Chandler","AZ","1600000US0412000","","","","","",89.7
"Charleston (SC)","SC","1600000US4513330","","","","","",88.6
"Charleston (WV)","WV","1600000US5414600","","","","","",89
"Charlotte","NC","1600000US3712000","","","","","",83.7
"Chattanooga","TN","1600000US4714000","","","","","",86.4
"Chesapeake","VA","1600000US5116000","","","","","",91.3
"Cheyenne","WY","1600000US5613900","","","","","",89
"Chicago","IL","1600000US1714000","","","","","",83.2
"Chula Vista","CA","1600000US0613392","","","","","",86.2
"Cincinnati","OH","1600000US3915000","","","","","",87.5
"Clarksville","TN","1600000US4715160","","","","","",88.3
"Clearwater","FL","1600000US1212875","","","","","",81.5
"Cleveland","OH","1600000US3916000","","","","","",85.8
"Colorado Springs","CO","1600000US0816000","","","","","",88
"Columbia (MO)","MO","1600000US2915670","","","","","",92.4
"Columbia (SC)","SC","1600000US4516000","","","","","",87.4
"Columbus (GA)","GA","1600000US1319000","","","","","",84.7
"Columbus (OH)","OH","1600000US3918000","","","","","",86.6
"Concord","CA","1600000US0616000","","","","","",87
"Coral Springs","FL","1600000US1214400","","","","","",81
"Corona","CA","1600000US0616350","","","","","",85.1
"Corpus Christi","TX","1600000US4817000","","","","","",80.9
"Costa Mesa","CA","1600000US0616532","","","","","",81.3
"Dallas","TX","1600000US4819000","","","","","",72.4
"Daly City","CA","1600000US0617918","","","","","",88.2
"Davenport","IA","1600000US1919000","","","","","",90.6
"Dayton","OH","1600000US3921000","","","","","",85.4
"Denton","TX","1600000US4819972","","","","","",81.1
"Denver","CO","1600000US0820000","","","","","",85.5
"Des Moines","IA","1600000US1921000","","","","","",90.2
"Detroit","MI","1600000US2622000","","","","","",83.3
"Downey","CA","1600000US0619766","","","","","",81.8
"Durham","NC","1600000US3719000","","","","","",84.3
"El Monte","CA","1600000US0622230","","","","","",72.9
"El Paso","TX","1600000US4824000","","","","","",76.2
"Elgin","IL","1600000US1723074","","","","","",84.1
"Elizabeth","NJ","1600000US3421000","","","","","",73.4
"Elk Grove","CA","1600000US0622020","","","","","",92.7
"Escondido","CA","1600000US0622804","","","","","",78.2
"Eugene","OR","1600000US4123850","","","","","",88.2
"Evansville","IN","1600000US1822000","","","","","",85.9
"Everett","WA","1600000US5322640","","","","","",85.6
"Fairfield","CA","1600000US0623182","","","","","",90
"Fargo","ND","1600000US3825700","","","","","",90.5
"Fayetteville","NC","1600000US3722920","","","","","",87
"Fontana","CA","1600000US0624680","","","","","",79.4
"Fort Collins","CO","1600000US0827425","","","","","",91.3
"Fort Lauderdale","FL","1600000US1224000","","","","","",79.3
"Fort Wayne","IN","1600000US1825000","","","","","",84.7
"Fort Worth","TX","1600000US4827000","","","","","",78.4
"Fremont","CA","1600000US0626000","","","","","",93.3
"Fresno","CA","1600000US0627000","","","","","",83.6
"Frisco","TX","1600000US4827684","","","","","",91.4
"Fullerton","CA","1600000US0628000","","","","","",83.7
"Gainesville","FL","1600000US1225175","","","","","",85.6
"Garden Grove","CA","1600000US0629000","","","","","",83
"Garland","TX","1600000US4829000","","","","","",73.9
"Glendale (AZ)","AZ","1600000US0427820","","","","","",82.8
"Glendale (CA)","CA","1600000US0630000","","","","","",84.3
"Grand Prairie","TX","1600000US4830464","","","","","",77.9
"Grand Rapids","MI","1600000US2634000","","","","","",87.4
"Green Bay","WI","1600000US5531000","","","","","",88.2
"Greensboro","NC","1600000US3728000","","","","","",84.7
"Gresham","OR","1600000US4131250","","","","","",85.4
"Hampton","VA","1600000US5135000","","","","","",87.5
"Hartford","CT","1600000US0937000","","","","","",85.5
"Hayward","CA","1600000US0633000","","","","","",85.5
"Henderson","NV","1600000US3231900","","","","","",88.7
"Hialeah","FL","1600000US1230000","","","","","",68
"High Point","NC","1600000US3731400","","","","","",83.4
"Hollywood","FL","1600000US1232000","","","","","",77.5
"Honolulu","HI","1600000US1571550","","","","","",93.9
"Houston","TX","1600000US4835000","","","","","",73.4
"Huntington Beach","CA","1600000US0636000","","","","","",89.8
"Huntsville","AL","1600000US0137000","","","","","",85.7
"Independence","MO","1600000US2935000","","","","","",85.4
"Indianapolis","IN","1600000US1836003","","","","","",84.3
"Inglewood","CA","1600000US0636546","","","","","",78.6
"Irvine","CA","1600000US0636770","","","","","",92.3
"Irving","TX","1600000US4837000","","","","","",75
"Jackson","MS","1600000US2836000","","","","","",82.6
"Jacksonville","FL","1600000US1235000","","","","","",84.8
"Jersey City","NJ","1600000US3436000","","","","","",82.4
"Joliet","IL","1600000US1738570","","","","","",88.2
"Kansas City (KS)","KS","1600000US2036000","","","","","",76.6
"Kansas City (MO)","MO","1600000US2938000","","","","","",84.5
"Kent","WA","1600000US5335415","","","","","",84.9
"Killeen","TX","1600000US4839148","","","","","",85.4
"Knoxville","TN","1600000US4740000","","","","","",87.1
"Lafayette","LA","1600000US2240735","","","","","",84.5
"Lakewood","CO","1600000US0843000","","","","","",86.9
"Lancaster","CA","1600000US0640130","","","","","",86.6
"Lansing","MI","1600000US2646000","","","","","",88.7
"Laredo","TX","1600000US4841464","","","","","",68.5
"Las Vegas","NV","1600000US3240000","","","","","",80.1
"Lexington-Fayette","KY","1600000US2146027","","","","","",88.8
"Lincoln","NE","1600000US3128000","","","","","",89.8
"Little Rock","AR","1600000US0541000","","","","","",86.2
"Long Beach","CA","1600000US0643000","","","","","",83.2
"Los Angeles","CA","1600000US0644000","","","","","",78.8
"Lowell","MA","1600000US2537000","","","","","",93.4
"Lubbock","TX","1600000US4845000","","","","","",82.6
"Madison","WI","1600000US5548000","","","","","",93.4
"Manchester","NH","1600000US3345140","","","","","",87.2
"McAllen","TX","1600000US4845384","","","","","",69.1
"McKinney","TX","1600000US4845744","","","","","",86.6
"Memphis","TN","1600000US4748000","","","","","",82.2
"Mesa","AZ","1600000US0446000","","","","","",83.5
"Mesquite","TX","1600000US4847892","","","","","",76.4
"Miami","FL","1600000US1245000","","","","","",69.9
"Miami Gardens","FL","1600000US1245060","","","","","",73.9
"Midland","TX","1600000US4848072","","","","","",79.8
"Milwaukee","WI","1600000US5553000","","","","","",86.7
"Minneapolis","MN","1600000US2743000","","","","","",89.4
"Miramar","FL","1600000US1245975","","","","","",80.1
"Mobile","AL","1600000US0150000","","","","","",85.3
"Modesto","CA","1600000US0648354","","","","","",86.1
"Montgomery","AL","1600000US0151000","","","","","",86.5
"Moreno Valley","CA","1600000US0649270","","","","","",79.5
"Murfreesboro","TN","1600000US4751560","","","","","",88.5
"Murrieta","CA","1600000US0650076","","","","","",88.5
"Naperville","IL","1600000US1751622","","","","","",94.7
"New Haven","CT","1600000US0952000","","","","","",87.3
"New Orleans","LA","1600000US2255000","","","","","",83.8
"New York","NY","1600000US3651000","","","","","",87.6
"Newark","NJ","1600000US3451000","","","","","",75.2
"Newport News","VA","1600000US5156000","","","","","",86.8
"Norfolk","VA","1600000US5157000","","","","","",83.9
"Norman","OK","1600000US4052500","","","","","",88.3
"North Las Vegas","NV","1600000US3251800","","","","","",79.2
"Norwalk","CA","1600000US0652526","","","","","",80.5
"Oakland","CA","1600000US0653000","","","","","",86
"Oceanside","CA","1600000US0653322","","","","","",85.4
"Oklahoma City","OK","1600000US4055000","","","","","",81.6
"Olathe","KS","1600000US2052575","","","","","",90.4
"Omaha","NE","1600000US3137000","","","","","",87.4
"Ontario","CA","1600000US0653896","","","","","",79.6
"Orange","CA","1600000US0653980","","","","","",85.3
"Orlando","FL","1600000US1253000","","","","","",78.5
"Overland Park","KS","1600000US2053775","","","","","",93.7
"Oxnard","CA","1600000US0654652","","","","","",78.3
"Palm Bay","FL","1600000US1254000","","","","","",84.2
"Palmdale","CA","1600000US0655156","","","","","",84
"Pasadena (CA)","CA","1600000US0656000","","","","","",86.4
"Pasadena (TX)","TX","1600000US4856000","","","","","",71.1
"Paterson","NJ","1600000US3457000","","","","","",77.2
"Pembroke Pines","FL","1600000US1255775","","","","","",85.7
"Peoria (AZ)","AZ","1600000US0454050","","","","","",89.7
"Peoria (IL)","IL","1600000US1759000","","","","","",90.6
"Philadelphia","PA","1600000US4260000","","","","","",86.9
"Phoenix","AZ","1600000US0455000","","","","","",79.7
"Pittsburgh","PA","1600000US4261000","","","","","",91.1
"Plano","TX","1600000US4858016","","","","","",87.1
"Pomona","CA","1600000US0658072","","","","","",78.5
"Ponce","PR","1600000US7263820","","","","","",94.6
"Port St. Lucie","FL","1600000US1258715","","","","","",81.6
"Portland (ME)","ME","1600000US2360545","","","","","",88.8
"Portland (OR)","OR","1600000US4159000","","","","","",87.7
"Providence","RI","1600000US4459000","","","","","",83.5
"Provo","UT","1600000US4962470","","","","","",85.5
"Pueblo","CO","1600000US0862000","","","","","",87.6
"Raleigh","NC","1600000US3755000","","","","","",86.2
"Rancho Cucamonga","CA","1600000US0659451","","","","","",89.9
"Reno","NV","1600000US3260600","","","","","",81.5
"Richmond (CA)","CA","1600000US0660620","","","","","",82.6
"Richmond (VA)","VA","1600000US5167000","","","","","",83.1
"Riverside","CA","1600000US0662000","","","","","",82.8
"Rochester (MN)","MN","1600000US2754880","","","","","",93.9
"Rochester (NY)","NY","1600000US3663000","","","","","",90.1
"Rockford","IL","1600000US1765000","","","","","",87.6
"Roseville","CA","1600000US0662938","","","","","",91.9
"Sacramento","CA","1600000US0664000","","","","","",86.7
"Salem","OR","1600000US4164900","","","","","",86.6
"Salinas","CA","1600000US0664224","","","","","",78.7
"Salt Lake City","UT","1600000US4967000","","","","","",82.4
"San Antonio","TX","1600000US4865000","","","","","",80.6
"San Bernardino","CA","1600000US0665000","","","","","",79.1
"San Buenaventura","CA","1600000US0665042","","","","","",88.1
"San Diego","CA","1600000US0666000","","","","","",85.9
"San Francisco","CA","1600000US0667000","","","","","",91.5
"San Jose","CA","1600000US0668000","","","","","",89.1
"San Juan","PR","1600000US7276770","","","","","",89.1
"Santa Ana","CA","1600000US0669000","","","","","",72.5
"Santa Clara","CA","1600000US0669084","","","","","",91.9
"Santa Clarita","CA","1600000US0669088","","","","","",88.6
"Santa Rosa","CA","1600000US0670098","","","","","",87.5
"Savannah","GA","1600000US1369000","","","","","",79.4
"Scottsdale","AZ","1600000US0465000","","","","","",92
"Seattle","WA","1600000US5363000","","","","","",91.2
"Shreveport","LA","1600000US2270000","","","","","",83.4
"Simi Valley","CA","1600000US0672016","","","","","",90.1
"Sioux Falls","SD","1600000US4659020","","","","","",90.2
"South Bend","IN","1600000US1871000","","","","","",83.6
"Spokane","WA","1600000US5367000","","","","","",88.4
"Springfield (IL)","IL","1600000US1772000","","","","","",91.2
"Springfield (MA)","MA","1600000US2567000","","","","","",94.6
"Springfield (MO)","MO","1600000US2970000","","","","","",82.9
"St. Louis","MO","1600000US2965000","","","","","",83.4
"St. Paul","MN","1600000US2758000","","","","","",89.4
"St. Petersburg","FL","1600000US1263000","","","","","",83.8
"Stamford","CT","1600000US0973000","","","","","",85.7
"Sterling Heights","MI","1600000US2676460","","","","","",89.7
"Stockton","CA","1600000US0675000","","","","","",84.6
"Sunnyvale","CA","1600000US0677000","","","","","",91.9
"Surprise","AZ","1600000US0471510","","","","","",92.1
"Syracuse","NY","1600000US3673000","","","","","",90.3
"Tacoma","WA","1600000US5370000","","","","","",85.2
"Tallahassee","FL","1600000US1270600","","","","","",87.7
"Tampa","FL","1600000US1271000","","","","","",84.4
"Temecula","CA","1600000US0678120","","","","","",89.3
"Tempe","AZ","1600000US0473000","","","","","",85.1
"Thornton","CO","1600000US0877290","","","","","",86.2
"Thousand Oaks","CA","1600000US0678582","","","","","",91.1
"Toledo","OH","1600000US3977000","","","","","",87.6
"Topeka","KS","1600000US2071000","","","","","",86.4
"Torrance","CA","1600000US0680000","","","","","",91.1
"Tucson","AZ","1600000US0477000","","","","","",83.6
"Tulsa","OK","1600000US4075000","","","","","",80.4
"Vallejo","CA","1600000US0681666","","","","","",86.2
"Vancouver","WA","1600000US5374060","","","","","",86
"Victorville","CA","1600000US0682590","","","","","",84.2
"Virginia Beach","VA","1600000US5182000","","","","","",90
"Visalia","CA","1600000US0682954","","","","","",87.4
"Waco","TX","1600000US4876000","","","","","",80.6
"Warren","MI","1600000US2684000","","","","","",87.9
"Washington","DC","1600000US1150000","","","","","",94.2
"Waterbury","CT","1600000US0980000","","","","","",87.8
"West Covina","CA","1600000US0684200","","","","","",85.5
"West Jordan","UT","1600000US4982950","","","","","",88.3
"West Palm Beach","FL","1600000US1276600","","","","","",78.4
"West Valley City","UT","1600000US4983470","","","","","",75.9
"Westminster","CO","1600000US0883835","","","","","",88.7
"Wichita","KS","1600000US2079000","","","","","",85.1
"Wichita Falls","TX","1600000US4879000","","","","","",82.8
"Wilmington (DE)","DE","1600000US1077580","","","","","",90.2
"Wilmington (NC)","NC","1600000US3774440","","","","","",85.2
"Winston-Salem","NC","1600000US3775000","","","","","",83.6
"Worcester","MA","1600000US2582000","","","","","",95.7
"Yonkers","NY","1600000US3684000","","","","","",88.2
