"city","state","geo.id","MedianIncome"
"Abilene","TX","1600000US4801000",43189
"Akron","OH","1600000US3901000",34512
"Albuquerque","NM","1600000US3502000",47030
"Alexandria","VA","1600000US5101000",89134
"Allentown","PA","1600000US4202000",36930
"Amarillo","TX","1600000US4803000",47735
"Anaheim","CA","1600000US0602000",60752
"Anchorage","AK","1600000US0203000",78326
"Ann Arbor","MI","1600000US2603000",55990
"Antioch","CA","1600000US0602252",64329
"Arlington","TX","1600000US4804000",53326
"Arvada","CO","1600000US0803455",69938
"Atlanta","GA","1600000US1304000",47527
"Aurora (CO)","CO","1600000US0804000",53011
"Aurora (IL)","IL","1600000US1703012",63090
"Austin","TX","1600000US4805000",57689
"Bakersfield","CA","1600000US0603526",57095
"Baltimore","MD","1600000US2404000",42241
"Baton Rouge","LA","1600000US2205000",39876
"Bayam<U+0086>n","PR","1600000US7206593",24703
"Beaumont","TX","1600000US4807000",40992
"Bellevue","WA","1600000US5305210",94638
"Berkeley","CA","1600000US0606000",66237
"Billings","MT","1600000US3006550",51012
"Birmingham","AL","1600000US0107000",31061
"Boise City","ID","1600000US1608830",50323
"Boston","MA","1600000US2507000",55777
"Bridgeport","CT","1600000US0908000",41801
"Brownsville","TX","1600000US4810768",32894
"Buffalo","NY","1600000US3611000",31918
"Burbank","CA","1600000US0608954",66076
"Burlington","VT","1600000US5010675",44671
"Cambridge","MA","1600000US2511000",79416
"Cape Coral","FL","1600000US1210275",50536
"Carlsbad","CA","1600000US0611194",90597
"Carolina","PR","1600000US7214290",28481
"Carrollton","TX","1600000US4813024",69368
"Cedar Rapids","IA","1600000US1912000",53581
"Centennial","CO","1600000US0812815",91941
"Chandler","AZ","1600000US0412000",72695
"Charleston (SC)","SC","1600000US4513330",55546
"Charleston (WV)","WV","1600000US5414600",48442
"Charlotte","NC","1600000US3712000",53637
"Chattanooga","TN","1600000US4714000",40177
"Chesapeake","VA","1600000US5116000",68620
"Cheyenne","WY","1600000US5613900",58219
"Chicago","IL","1600000US1714000",48522
"Chula Vista","CA","1600000US0613392",65185
"Cincinnati","OH","1600000US3915000",33604
"Clarksville","TN","1600000US4715160",46947
"Clearwater","FL","1600000US1212875",44198
"Cleveland","OH","1600000US3916000",26150
"Colorado Springs","CO","1600000US0816000",54527
"Columbia (MO)","MO","1600000US2915670",44907
"Columbia (SC)","SC","1600000US4516000",41260
"Columbus (GA)","GA","1600000US1319000",42306
"Columbus (OH)","OH","1600000US3918000",45659
"Concord","CA","1600000US0616000",68318
"Coral Springs","FL","1600000US1214400",66430
"Corona","CA","1600000US0616350",74149
"Corpus Christi","TX","1600000US4817000",50658
"Costa Mesa","CA","1600000US0616532",66459
"Dallas","TX","1600000US4819000",43781
"Daly City","CA","1600000US0617918",74449
"Davenport","IA","1600000US1919000",47343
"Dayton","OH","1600000US3921000",27683
"Denton","TX","1600000US4819972",49100
"Denver","CO","1600000US0820000",53637
"Des Moines","IA","1600000US1921000",46290
"Detroit","MI","1600000US2622000",25764
"Downey","CA","1600000US0619766",62897
"Durham","NC","1600000US3719000",50420
"El Monte","CA","1600000US0622230",38085
"El Paso","TX","1600000US4824000",42772
"Elgin","IL","1600000US1723074",60499
"Elizabeth","NJ","1600000US3421000",43568
"Elk Grove","CA","1600000US0622020",79487
"Escondido","CA","1600000US0622804",50899
"Eugene","OR","1600000US4123850",43101
"Evansville","IN","1600000US1822000",35785
"Everett","WA","1600000US5322640",49578
"Fairfield","CA","1600000US0623182",67364
"Fargo","ND","1600000US3825700",46175
"Fayetteville","NC","1600000US3722920",43630
"Fontana","CA","1600000US0624680",64824
"Fort Collins","CO","1600000US0827425",55647
"Fort Lauderdale","FL","1600000US1224000",50778
"Fort Wayne","IN","1600000US1825000",43774
"Fort Worth","TX","1600000US4827000",53214
"Fremont","CA","1600000US0626000",105355
"Fresno","CA","1600000US0627000",41531
"Frisco","TX","1600000US4827684",114098
"Fullerton","CA","1600000US0628000",65974
"Gainesville","FL","1600000US1225175",31818
"Garden Grove","CA","1600000US0629000",58449
"Garland","TX","1600000US4829000",51970
"Glendale (AZ)","AZ","1600000US0427820",46776
"Glendale (CA)","CA","1600000US0630000",52574
"Grand Prairie","TX","1600000US4830464",56475
"Grand Rapids","MI","1600000US2634000",40355
"Green Bay","WI","1600000US5531000",42826
"Greensboro","NC","1600000US3728000",41628
"Gresham","OR","1600000US4131250",46956
"Hampton","VA","1600000US5135000",49190
"Hartford","CT","1600000US0937000",30630
"Hayward","CA","1600000US0633000",65096
"Henderson","NV","1600000US3231900",63120
"Hialeah","FL","1600000US1230000",29249
"High Point","NC","1600000US3731400",42299
"Hollywood","FL","1600000US1232000",46791
"Honolulu","HI","1600000US1571550",61442
"Houston","TX","1600000US4835000",46187
"Huntington Beach","CA","1600000US0636000",83252
"Huntsville","AL","1600000US0137000",48775
"Independence","MO","1600000US2935000",43472
"Indianapolis","IN","1600000US1836003",41987
"Inglewood","CA","1600000US0636546",42044
"Irvine","CA","1600000US0636770",92278
"Irving","TX","1600000US4837000",52154
"Jackson","MS","1600000US2836000",32250
"Jacksonville","FL","1600000US1235000",46764
"Jersey City","NJ","1600000US3436000",59537
"Joliet","IL","1600000US1738570",60976
"Kansas City (KS)","KS","1600000US2036000",38749
"Kansas City (MO)","MO","1600000US2938000",45821
"Kent","WA","1600000US5335415",60191
"Killeen","TX","1600000US4839148",47763
"Knoxville","TN","1600000US4740000",34226
"Lafayette","LA","1600000US2240735",46517
"Lakewood","CO","1600000US0843000",56954
"Lancaster","CA","1600000US0640130",47225
"Lansing","MI","1600000US2646000",35563
"Laredo","TX","1600000US4841464",39711
"Las Vegas","NV","1600000US3240000",50202
"Lexington-Fayette","KY","1600000US2146027",49778
"Lincoln","NE","1600000US3128000",49840
"Little Rock","AR","1600000US0541000",46085
"Long Beach","CA","1600000US0643000",52783
"Los Angeles","CA","1600000US0644000",50205
"Lowell","MA","1600000US2537000",48002
"Lubbock","TX","1600000US4845000",44648
"Madison","WI","1600000US5548000",54896
"Manchester","NH","1600000US3345140",54282
"McAllen","TX","1600000US4845384",44254
"McKinney","TX","1600000US4845744",81459
"Memphis","TN","1600000US4748000",36445
"Mesa","AZ","1600000US0446000",48809
"Mesquite","TX","1600000US4847892",49604
"Miami","FL","1600000US1245000",31051
"Miami Gardens","FL","1600000US1245060",38253
"Midland","TX","1600000US4848072",69173
"Milwaukee","WI","1600000US5553000",35958
"Minneapolis","MN","1600000US2743000",51480
"Miramar","FL","1600000US1245975",65282
"Mobile","AL","1600000US0150000",38776
"Modesto","CA","1600000US0648354",48577
"Montgomery","AL","1600000US0151000",42927
"Moreno Valley","CA","1600000US0649270",54590
"Murfreesboro","TN","1600000US4751560",51094
"Murrieta","CA","1600000US0650076",74610
"Naperville","IL","1600000US1751622",109468
"New Haven","CT","1600000US0952000",37192
"New Orleans","LA","1600000US2255000",36792
"New York","NY","1600000US3651000",53373
"Newark","NJ","1600000US3451000",33139
"Newport News","VA","1600000US5156000",50077
"Norfolk","VA","1600000US5157000",44480
"Norman","OK","1600000US4052500",51491
"North Las Vegas","NV","1600000US3251800",52511
"Norwalk","CA","1600000US0652526",59756
"Oakland","CA","1600000US0653000",54618
"Oceanside","CA","1600000US0653322",57703
"Oklahoma City","OK","1600000US4055000",47779
"Olathe","KS","1600000US2052575",77335
"Omaha","NE","1600000US3137000",49896
"Ontario","CA","1600000US0653896",54114
"Orange","CA","1600000US0653980",78513
"Orlando","FL","1600000US1253000",42318
"Overland Park","KS","1600000US2053775",72463
"Oxnard","CA","1600000US0654652",60621
"Palm Bay","FL","1600000US1254000",43163
"Palmdale","CA","1600000US0655156",52392
"Pasadena (CA)","CA","1600000US0656000",72402
"Pasadena (TX)","TX","1600000US4856000",48004
"Paterson","NJ","1600000US3457000",32915
"Pembroke Pines","FL","1600000US1255775",61279
"Peoria (AZ)","AZ","1600000US0454050",65314
"Peoria (IL)","IL","1600000US1759000",45552
"Philadelphia","PA","1600000US4260000",38253
"Phoenix","AZ","1600000US0455000",47326
"Pittsburgh","PA","1600000US4261000",40715
"Plano","TX","1600000US4858016",83793
"Pomona","CA","1600000US0658072",49186
"Ponce","PR","1600000US7263820",16423
"Port St. Lucie","FL","1600000US1258715",49813
"Portland (ME)","ME","1600000US2360545",46280
"Portland (OR)","OR","1600000US4159000",55003
"Providence","RI","1600000US4459000",37501
"Provo","UT","1600000US4962470",41291
"Pueblo","CO","1600000US0862000",34550
"Raleigh","NC","1600000US3755000",55398
"Rancho Cucamonga","CA","1600000US0659451",77396
"Reno","NV","1600000US3260600",47012
"Richmond (CA)","CA","1600000US0660620",55102
"Richmond (VA)","VA","1600000US5167000",40758
"Riverside","CA","1600000US0662000",57196
"Rochester (MN)","MN","1600000US2754880",64554
"Rochester (NY)","NY","1600000US3663000",30960
"Rockford","IL","1600000US1765000",38716
"Roseville","CA","1600000US0662938",75867
"Sacramento","CA","1600000US0664000",50739
"Salem","OR","1600000US4164900",47191
"Salinas","CA","1600000US0664224",49840
"Salt Lake City","UT","1600000US4967000",47243
"San Antonio","TX","1600000US4865000",46744
"San Bernardino","CA","1600000US0665000",37047
"San Buenaventura","CA","1600000US0665042",66995
"San Diego","CA","1600000US0666000",66116
"San Francisco","CA","1600000US0667000",81294
"San Jose","CA","1600000US0668000",84647
"San Juan","PR","1600000US7276770",21125
"Santa Ana","CA","1600000US0669000",52253
"Santa Clara","CA","1600000US0669084",98914
"Santa Clarita","CA","1600000US0669088",83554
"Santa Rosa","CA","1600000US0670098",61050
"Savannah","GA","1600000US1369000",36466
"Scottsdale","AZ","1600000US0465000",73288
"Seattle","WA","1600000US5363000",70594
"Shreveport","LA","1600000US2270000",38583
"Simi Valley","CA","1600000US0672016",90210
"Sioux Falls","SD","1600000US4659020",52494
"South Bend","IN","1600000US1871000",34523
"Spokane","WA","1600000US5367000",42386
"Springfield (IL)","IL","1600000US1772000",49868
"Springfield (MA)","MA","1600000US2567000",34728
"Springfield (MO)","MO","1600000US2970000",33557
"St. Louis","MO","1600000US2965000",35599
"St. Paul","MN","1600000US2758000",48757
"St. Petersburg","FL","1600000US1263000",45748
"Stamford","CT","1600000US0973000",79359
"Sterling Heights","MI","1600000US2676460",60089
"Stockton","CA","1600000US0675000",44797
"Sunnyvale","CA","1600000US0677000",105401
"Surprise","AZ","1600000US0471510",59916
"Syracuse","NY","1600000US3673000",31881
"Tacoma","WA","1600000US5370000",52042
"Tallahassee","FL","1600000US1270600",39681
"Tampa","FL","1600000US1271000",44185
"Temecula","CA","1600000US0678120",79925
"Tempe","AZ","1600000US0473000",49012
"Thornton","CO","1600000US0877290",66948
"Thousand Oaks","CA","1600000US0678582",100946
"Toledo","OH","1600000US3977000",33687
"Topeka","KS","1600000US2071000",42250
"Torrance","CA","1600000US0680000",79549
"Tucson","AZ","1600000US0477000",37149
"Tulsa","OK","1600000US4075000",42284
"Vallejo","CA","1600000US0681666",57028
"Vancouver","WA","1600000US5374060",50626
"Victorville","CA","1600000US0682590",45894
"Virginia Beach","VA","1600000US5182000",66634
"Visalia","CA","1600000US0682954",52157
"Waco","TX","1600000US4876000",33147
"Warren","MI","1600000US2684000",43523
"Washington","DC","1600000US1150000",70848
"Waterbury","CT","1600000US0980000",40467
"West Covina","CA","1600000US0684200",69189
"West Jordan","UT","1600000US4982950",68442
"West Palm Beach","FL","1600000US1276600",45800
"West Valley City","UT","1600000US4983470",52534
"Westminster","CO","1600000US0883835",67081
"Wichita","KS","1600000US2079000",45947
"Wichita Falls","TX","1600000US4879000",44543
"Wilmington (DE)","DE","1600000US1077580",40465
"Wilmington (NC)","NC","1600000US3774440",42128
"Winston-Salem","NC","1600000US3775000",39882
"Worcester","MA","1600000US2582000",45472
"Yonkers","NY","1600000US3684000",59049
